# Quantract.co.uk — Complete Feature & Capability Inventory

---

## Feature Inventory Table

| Feature Name | Description | Product | User Roles | Surface | Maturity | Evidence (files/routes) | Notes |
| Entitlements Settings | View feature entitlements for current plan | CRM | Admin | Web | ✅ Production | `/admin/settings/entitlements`, EntitlementsSettings.tsx | |
| Notification Settings | Configure notification preferences and channels | CRM | Admin | Web | ✅ Production | `/admin/settings/notifications`, NotificationsSettings.tsx | |
| Security Settings | Security configuration | CRM | Admin | Web | 🟡 Functional but rough | `/admin/settings/security` | |
| Custom Terms | Configure terms & conditions for documents | CRM | Admin | Web | ✅ Production | `/admin/settings/terms`, `/api/admin/settings/terms` | |
| User Management | Manage user accounts and permissions | CRM | Admin | Web | ✅ Production | `/admin/users`, `/api/admin/users` | |
| Engineer Management | Manage engineer profiles and rates | CRM | Admin | Web | ✅ Production | `/admin/engineers`, EngineersPageClient.tsx | |
| Site Management | Registered job sites | CRM | Admin | Web | ✅ Production | `/api/admin/sites` | |
| **CLIENT PORTAL** | | | | | | | |
| Client Dashboard | Home page listing quotes, invoices, certificates | CRM | Client | Web | ✅ Production | `/client` | |
| Client Documents | All documents view (certificates, agreements, invoices) | CRM | Client | Web | ✅ Production | `/client/documents` | |
| Client Inbox | Aggregated quotes and invoices inbox | CRM | Client | Web | ✅ Production | `/api/client/inbox/invoices`, `/api/client/inbox/quotes` | |
| **ENGINEER PORTAL** | | | | | | | |
| Engineer Dashboard | Home page with assigned jobs overview | CRM | Engineer | Web | ✅ Production | `/engineer` | |
| Engineer Profile | Profile and settings management | CRM | Engineer | Web | ✅ Production | `/engineer/profile`, `/api/engineer/profile` | |
| **GEOLOCATION** | | | | | | | |
| Address Autocomplete | Google Places API integration for address lookup | Shared | Admin | Web | ✅ Production | `/api/geo/autocomplete`, `/api/geo/details` | |
| **SUPPORT** | | | | | | | |
| Support Chat | In-app support chat endpoint | Shared | Admin | Web | 🟡 Functional but rough | `/api/support/chat` | |
| **MARKETING SITE** | | | | | | | |
| Marketing Homepage | Public landing page with features, pricing, CTAs | Shared | — | Web | ✅ Production | `/apps/marketing/app/` | Separate Next.js app |
| Features Page | Feature overview for marketing | Shared | — | Web | ✅ Production | `/apps/marketing/app/features/` | |
| Pricing Page | Public pricing page | Shared | — | Web | ✅ Production | `/apps/marketing/app/pricing/` | |
| Contact Page | Contact form | Shared | — | Web | ✅ Production | `/apps/marketing/app/contact/` | |
| About Page | Company about page | Shared | — | Web | ✅ Production | `/apps/marketing/app/about/` | |
| Privacy & Terms | Legal pages | Shared | — | Web | ✅ Production | `/apps/marketing/app/privacy/`, `/terms/` | |
| **PWA / MOBILE** | | | | | | | |
| Service Worker | Workbox-powered SW with offline caching strategies | Shared | Admin, Engineer, Client | Web, Mobile-Engineer, Mobile-Admin, Mobile-Client | ✅ Production | `public/sw.js` | CacheFirst fonts, StaleWhileRevalidate images, NetworkFirst APIs |
| Web App Manifest | PWA manifest for add-to-homescreen | Shared | Admin, Engineer, Client | Web, Mobile-Engineer, Mobile-Admin, Mobile-Client | ✅ Production | `public/manifest-client.webmanifest` | Standalone display, 192/512 icons |
| Install PWA Button | Prompt to install as native-like app | Shared | Admin, Engineer, Client | Web | ✅ Production | InstallPwaButton.tsx | |
| **BACKGROUND INFRASTRUCTURE** | | | | | | | |
| BullMQ Job Queue | Redis-backed job queue for emails, PDFs, reminders | Shared | — | — | ✅ Production | `queueConfig.ts`, `worker.ts` | 3 retries, exponential backoff |
| Cron Authentication | Header-based cron auth with timing-safe comparison | Shared | — | — | ✅ Production | `cronAuth.ts` | 5-min idempotency TTL |
| Health Check | System health endpoint | Shared | — | — | ✅ Production | `/api/health` | |
| Debug Auth | Dev-only auth debugging | Shared | — | — | 🧪 Experimental | `/api/debug/auth` | Dev environment only |


---


## A. Product Coverage Summary

| Product | Feature Count | Notes |
|---|---|---|
| CRM | ~65 | Jobs, quotes, invoices, clients, contacts, deals, scheduling, timesheets, expenses, suppliers, reports, dashboard, import/export, tasks, agreements, variations |
| Certs | ~18 | Certificate lifecycle (draft/issue/void/reissue), revisions with signing hash, 5 standalone builders (EIC, EICR, MWC, Fire, EML), observations, outcomes, signatures, test results, AI suggestions |
| Tools | ~22 | 16 BS 7671 calculators, RAMS generator, safety assessment, metal prices, point counter, standalone cable calculator, tool presets |
| Shared | ~30 | Auth (5 roles, RBAC, magic link, invites), billing (Stripe, 5 plans, module add-ons), notifications (email via Resend, SMS stub), PWA, multi-tenancy, audit trail, geolocation, queue infrastructure, marketing site |
| **TOTAL** | **~135** | |


---


## B. Orphaned / Hidden Features

### APIs with no clear UI linkage
- Quote Templates — `/api/admin/quote-templates` exists but no dedicated UI page found in navigation
- AI Dashboard — `/admin/ai/dashboard` exists as page but is wireframed/placeholder, not linked in nav
- Intelligence Hub — `/admin/intelligence` exists but is Phase 3 placeholder, not in nav
- Debug Auth — `/api/debug/auth` dev-only, no UI
- Ops Login — `/ops/login` exists but ops portal is minimal
- Weekly AI Digest cron — endpoint exists but unclear if actually scheduled

### UI pages not linked from navigation
- `/admin/variations` — not in sidebar nav (accessed from job detail only)
- `/admin/expenses` — not in primary sidebar nav
- `/admin/planner` — not in primary sidebar nav (separate from Schedule)
- `/admin/tasks` — not in primary sidebar nav
- `/admin/onboarding/automation` — not linked
- `/admin/ai` — AI assistant hub, accessible via support menu but not sidebar
- `/portal` — legacy redirect page
- `/sign-in`, `/sign-in-redirect` — legacy redirect aliases

### Features accessible only by direct URL
- Standalone certificates app at separate port (3002)
- Standalone tools app at separate port (3003)
- `/admin/system/failed-jobs` — system admin only, not in main nav


---


## C. Mobile Readiness Assessment

### Engineer App (Highest Priority)

**Currently suitable features:**
- Today's jobs view (`/engineer/today`)
- Job list and detail (`/engineer/jobs`)
- Live work timer (start/stop)
- Time entry logging
- Snag item reporting (with photo upload)
- Schedule view
- Timesheet submission
- Certificate completion and sign-off
- PWA installable with offline caching

**Missing for true mobile:**
- No native push notifications (only web-based)
- No offline-first data sync (NetworkFirst strategy means no connectivity = no data)
- No camera integration for snag photos beyond basic file upload
- No GPS/location tracking for engineer check-in
- No offline form submission queue
- No barcode/QR scanning for equipment tracking
- Timer may not persist if app is backgrounded on mobile

### Office/Admin App

**Currently suitable features:**
- Dashboard viewing
- Quote and invoice review/approval
- Timesheet approval
- Schedule overview
- Client/contact lookup
- Global search (Command Palette)

**Missing for mobile:**
- Complex forms (quote builder, invoice creation) are desktop-optimized
- Kanban board (deals) needs touch optimization
- Resource planner needs touch drag-and-drop
- Report charts may not render well on small screens
- No mobile-optimized data entry

### Client App

**Currently suitable features:**
- View quotes and accept/reject
- View and pay invoices (Stripe checkout is mobile-friendly)
- Download certificates and documents
- Sign agreements (SignaturePad works on touch)
- PWA installable

**Missing for mobile:**
- Minimal feature set already — portal is fairly mobile-ready
- No push notifications for new quotes/invoices
- No document offline viewing


---


## D. Packaging Observations

### Features that clearly belong together

1. **Job Lifecycle Bundle**: Jobs + Scheduling + Timesheets + Snags + Variations + Checklists + Job Finance
2. **Sales Pipeline Bundle**: Enquiries + Quotes + Deals + Quote Templates + Lead Capture + Activity Logging
3. **Financial Bundle**: Invoices + Expenses + Supplier Bills + Purchase Orders + Rate Cards + Overheads + Break-even + Xero Integration
4. **Compliance Bundle**: Certificates (all types) + RAMS Generator + Safety Assessment + Checklists
5. **Engineering Tools Pack**: All 16 calculators + Metal Prices + Point Counter + Tool Presets

### Features that should NOT ship together

- AI features (experimental) should not be bundled with production CRM — separate beta/opt-in
- Standalone Certificates app should remain independent from CRM (different buyer persona)
- Standalone Tools app should remain independent (lead-gen/freemium product)
- Marketing site is deployment infrastructure, not a product feature
- Intelligence/Phase 3 wireframes should not be visible to paying customers

### Candidates for standalone products

1. **Quantract Certificates** — Already a standalone app. The 5 certificate builders (EIC, EICR, MWC, Fire, EML) are a complete product for electricians who don't need CRM. Monetize separately at £15/mo.
2. **Quantract Tools** — Already a standalone app. The 16 engineering calculators + point counter are a strong freemium lead-gen product. Free tier with premium calculators or unlimited saves.
3. **Quantract Client Portal** — Could be offered as white-label portal for contractors who use other CRM systems. Token-based access pattern already supports this.
4. **Quantract AI** — Once mature, AI recommendations + certificate suggestions + weekly digest could be a premium add-on across all products.


---


## Appendix: Pricing Plans Reference

| Plan | Price | Users | Invoices/mo | Certs/mo | Modules | Notes |
|---|---|---|---|---|---|---|
| Trial | Free | 10 | 50 | 30 | All | 14 days |
| Core | £19/mo | 3 (+£4/user) | — | — | None | Foundation; add modules individually |
| Pro | £79/mo | 10 (+£3/user) | 500 | 300 | All | Best value |
| Pro Plus | £149/mo | 20 (+£3/user) | 1000 | 500 | All | Advanced AI |
| Enterprise | Custom | Unlimited | Unlimited | Unlimited | All | Dedicated DB |

**Module Add-ons (Core plan only):**
- CRM: £19/mo (300 invoices, schedule, timesheets, Xero)
- Certificates: £15/mo (150 certs/month)
- Portal: £7/mo (customer portal)
- Tools: £7/mo (calculator pack)

**Entitlements by plan:**
- Legal entities: 1 (Core) → 2 (Pro) → 3 (Pro+) → Unlimited (Enterprise)
- Storage: 10GB (Core) → 100GB (Pro) → 200GB (Pro+) → Unlimited (Enterprise)


---


## Appendix: Database Model Count

~50 Prisma models including:
User, AuthSession, MagicLinkToken, MfaSession, Company, CompanyUser, LegalEntity, ServiceLine, Client, Engineer, Supplier, Subcontractor, Site, Job, JobStage, JobBudgetLine, SnagItem, JobChecklist, ChecklistTemplate, ChecklistTemplateItem, Quote, QuoteRevision, Agreement, Variation, VariationAttachment, Invoice, InvoiceAttachment, InvoiceChase, InvoicePayment, InvoiceVariation, Certificate, CertificateRevision, CertificateObservation, CertificateChecklist, CertificateSignatureRecord, CertificateAttachment, CertificateTestResult, TimeEntry, Timesheet, ScheduleEntry, CostItem, CostItemAttachment, SupplierBill, SupplierBillLine, Expense, RateCard, CompanyOverhead, StockItem, StockMovement, AuditEvent, Task, Comment, Mention, NotificationLog, NotificationRule, NotificationTemplate, NotificationPreference, Enquiry, EnquiryEvent, PipelineStage, Contact, Deal, DealStage, Activity, SavedView, ImportJob, InboundFormConfig, InboundIntegrationKey, AllowedDomain, PurchaseOrder, PurchaseOrderLine, ToolPreset, RamsDocument, UserPermission


---


## Appendix: Route & Endpoint Counts

| App | Pages | API Routes | Layouts |
|---|---|---|---|
| CRM | ~130 | ~242 | 7 |
| Certificates | 7 | 1 | 1 |
| Marketing | 7 | 3 | 7 |
| Tools | 3 | 1 | 1 |
| **TOTAL** | **~147** | **~247** | **16** |
